,监测点编码,监测点名称,城市,经度,纬度
354,1616A,技术学院,莱芜,117.6789,36.2289
355,3353A,迎宾大道,重庆,107.3535,29.7287
356,1942A,市科委,金昌,102.1878,38.5247
357,3551A,晋宁区生态环境分局,昆明,102.5967,24.6736
358,2371A,槟榔水业,宜春,114.3442,27.8036
359,2623A,昌都地区昌都坝,昌都地区,97.1809,31.1254
360,3423A,溧水永阳(新增200421),南京,119.0138,31.6494
361,2243A,气象局　,鸡西,130.9298,45.2978
362,3569A,屯留一中,长治,112.8792,36.3144
363,1063A,中国银行,承德,117.9525,40.9843
364,1641A,山亭区环保局,枣庄,117.4518,35.0992
365,2441A,石化一小,荆门,112.2211,31.0386
366,1261A,四中,金华,119.649,29.1131
367,1513A,岳塘,湘潭,112.9227,27.8159
368,2587A,八中,毕节,105.2864,27.3125
369,3639A,市教育局,德阳,104.4019,31.1244
370,1133A,太平宏伟公园,哈尔滨,126.689,45.7733
371,3122A,伍家关(对照点),安顺,105.9606,26.2611
372,2459A,市委党校,衡阳,112.6197,26.8733
373,1711A,渔湖,揭阳,116.4094,23.5292
374,3700A,康养中心(对照点),雅安,103.0456,29.9697
375,1279A,高新区,合肥,117.124,31.8516
376,1857A,白鹤山,常德,111.7158,29.1456
377,1005A,农展馆,北京,116.473,39.9716
378,3320A,曲溪,揭阳,116.403,23.5699
379,2657A,博物馆,平凉,106.7039,35.5294
380,1477A,榆中兰大校区,兰州,104.148,35.94
381,1729A,澳瑞特,长治,113.1466,36.1961
382,2012A,监测站,富阳,119.954,30.054
383,1097A,化肥厂生活区,呼和浩特,111.717,40.7612
384,1349A,市八十六中,广州,113.433,23.105
385,3338A,芙蓉广场,许昌,113.843,34.0823
386,1927A,延大医附院,延安,109.4761,36.6028
387,3664A,连云街道,连云港,119.4172,34.7341
388,1410A,海南大学,海口,110.3232,20.0574
389,2210A,东苑,阜新,121.6722,42.0228
390,3284A,海北新区,乌海,106.813,39.7274
391,3536A,第十二小学,遵义,106.8547,27.5919
392,1030A,高新区,石家庄,114.6046,38.0398
393,2356A,新钢氧气厂,新余,114.9119,27.8042
394,2682A,环保局站,中卫,105.1971,37.5002
395,3408A,绍兴中专,绍兴,120.5683,29.9361
396,2228A,污水处理厂,辽源,125.1567,42.8953
397,2554A,建安厂,雅安,103.0013,29.9899
398,2880A,大石西路,成都,104.0238889,30.65638889
399,1374A,顺德苏岗,佛山,113.292,22.8054
400,1626A,二轻机,聊城,115.9968,36.4568
401,1952A,南林小区,克拉玛依,84.8897,45.5828
402,2426A,铁山,黄石,114.8949,30.2043
403,1246A,袍江站,绍兴,120.598,30.0911
404,1824A,肿瘤医院,开封,114.3389,34.7781
405,3561A,茶山,温州,120.6985,27.9251
406,1118A,双D港,大连,121.9769,39.0631
407,3305A,莲花,深圳,114.0731,22.559
408,3631A,高新区,石家庄,114.6063,38.0266
409,2451A,市委党校,随州,113.3583,31.7275
410,2703A,市环保局,伊犁哈萨克州,81.2815,43.9404
411,1788A,第一中学,牡丹江,129.6386,44.5462
412,1271A,三里街,合肥,117.307,31.8766
413,2323A,东圳水库,莆田,118.981,25.4792
414,3397A,高新台子湾,襄阳,112.1214,32.1008
415,1143A,虹口,上海,121.467,31.3008
416,1721A,果树场,大同,113.3819,40.1097
417,3269A,金山新城,上海,121.3359,30.7456
418,1015A,勤俭路,天津,117.145,39.1654
419,1341A,火车新站,长沙,113.0014,28.1944
420,3330A,杜集区检察院,淮北,116.8873,33.9836
421,2667A,环保局,临夏州,103.2139,35.6039
422,2919A,河北工业大学,廊坊,116.7022,39.5453
423,1487A,宁化生活区,银川,106.0715,38.4858
424,1213A,楚州区监测站,淮安,119.135,33.5039
425,2287A,市新民污水厂,铜陵,117.7806,30.9414
426,2539A,蟆颐观,眉山,103.8986,30.0506
427,2865A,榆次三中,晋中,112.7194444,37.68277778
428,1359A,南油,深圳,113.923,22.5167
429,1685A,坡头区环保局,湛江,110.4558,21.2567
430,1937A,三迪小学,宝鸡,107.2386,34.3622
431,3400A,龙潭自来水厂,北海,109.1911,21.4415
432,2220A,西梁,朝阳,120.4439,41.5931
433,3294A,引江管理处,扬州,119.5653,32.4222
434,1809A,石化总厂,九江,116.0726,29.7534
435,3546A,猇亭区张家湾站,宜昌,111.4606,30.552
436,1429A,鱼新街,重庆,106.513,29.389
437,3418A,密云新城,北京,116.8336,40.4095
438,3492A,安州区旅游局,绵阳,104.5648,31.5343
439,2564A,师范校,资阳,104.6469,30.1142
440,3038A,州图书馆,红河州,103.3758,23.3682
441,3364A,市环保局,枣庄,117.3152,34.8103
442,3616A,市中心医院,巴中,106.7616,31.8344
443,1110A,周水子,大连,121.565,38.951111111
444,2184A,豆制品厂,吕梁,,
445,2436A,市政府,鄂州,114.8878,30.3944
446,1834A,平顶山工学院,平顶山,113.182,33.737
447,2308A,皖西学院,六安,116.478,31.7618
448,2634A,汉川机床厂子校,汉中,106.9893,33.1842
449,1128A,岱山公园,长春,125.217,43.85
450,1454A,金鼎山,昆明,102.681,25.067
451,1706A,档案局,潮州,116.6447,23.6706
452,1780A,中心广场,齐齐哈尔,123.9305,47.3386
453,1074A,电机北厂,衡水,115.6951,37.7575
454,1326A,汉阳月湖,武汉,114.2511,30.5514
455,3315A,梅龙,梅州,116.1233,24.2991
456,1904A,耐火材料厂,德阳,104.3539,31.1108
457,1798A,湖东路四小,马鞍山,118.5058,31.6861
458,3513A,九州社区,聊城,116.0445,36.4361
459,2333A,南平铝业有限公司,南平,118.1819,26.6514
460,1996A,科教新城实小,太仓,121.14,31.422
461,3133A,上清寺,重庆,106.5469,29.565
462,2205A,盟环保楼,阿拉善盟,105.6975,38.843
463,2531A,市监测站,内江,105.0331,29.5953
464,1868A,新市环保局,北海,109.0981,21.4661
465,1351A,花都师范,广州,113.215,23.3917
466,1603A,民主桥,丹东,124.3678,40.1194
